Name,Location,Total_Area,Price_per_SQFT
"Kamaraj Nagar, Perungudi,Chennai","Kamaraj Nagar, Perungudi,Chennai",1080,6480.0
Jain Jains Anumita,"Tirumala Nagar Annexe, Perungudi,Chennai",1105,6510.0
Hansa Pearl,"Bharathi Nagar, Chennai",1309,5500.0
VGN Platina,"MGR Nagar, Ayappakkam,Chennai",777,5150.0
"Royal nest apartment chrompet ,Thiruneermalai, Chennai","Royal nest apartment chrompet ,Thiruneermalai, Chennai",1640,4570.0
Casa Grande Miro,"Adhanur, Chennai",917,6000.0
"Own building ,Ramakrishna Puram, West Mambalam,Chennai","Own building ,Ramakrishna Puram, West Mambalam,Chennai",3700,12160.0
XS Real En Veedu,"Perumanttunallur, Chennai",486,4220.0
DABC Freesia Garden,"Ponmar, Chennai",659,4250.0
"Yasodha Court,Vandalur R.F., Chennai","Yasodha Court,Vandalur R.F., Chennai",1010,3300.0
"ORAGADAM,Gandhi Nagar, Oragadam Ambattur,Chennai","ORAGADAM,Gandhi Nagar, Oragadam Ambattur,Chennai",1859,4300.0
Ganesh,"Chembarambakkam, Chennai",1042,3260.0
