id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
38,Apollo 12,Apollo 12,Apollo 12,244.0,1179.0,2,7.75,12.77
39,Skylab 2,Skylab 2,Skylab 2,673.0,1179.0,2,5.02,12.77
40,Gemini 7,Gemini 7,Gemini 7,330.58,477.0,0,0.0,0.0
41,Apollo 8,Apollo 8,Apollo 8,147.0,477.0,0,0.0,0.0
42,Gemini 7,Gemini 7,Gemini 7,330.58,715.05,0,0.0,0.0
43,Gemini 12,Gemini 12,Gemini 12,94.0,715.05,0,0.0,0.0
44,Apollo 8,Apollo 8,Apollo 8,147.0,715.05,0,0.0,0.0
45,Apollo 13,Apollo 13,Apollo 13,142.0,715.05,0,0.0,0.0
46,gemini 6A,gemini 6A,gemini 6A,25.86,508.0,0,0.0,0.0
47,Gemini 9A,Gemini 9A,Gemini 9A,72.0,508.0,0,0.0,0.0
48,Apollo 10,Apollo 10,Apollo 10,192.0,508.0,0,0.0,0.0
49,ASTP,ASTP,ASTP,217.0,508.0,0,0.0,0.0
50,Gemini 8,Gemini 8,Gemini 8,11.0,206.0,0,0.0,2.51
51,Apollo 11,Apollo 11,Apollo 11,195.0,206.0,1,2.52,2.51
52,Gemini 8,Gemini 8,Gemini 8,240.68,546.0,0,0.0,19.9
53,Apollo 9,Apollo 9,Apollo 9,241.0,546.0,1,1.13,19.9
54,Apollo 15,Apollo 15,Apollo 15,312.0,546.0,3,18.77,19.9
55,Gemini 9A,Gemini 9A,Gemini 9A,72.0,565.0,1,2.12,24.18
56,Apollo 10,Apollo 10,Apollo 10,192.05,565.0,0,0.0,24.18
57,Apollo 17,Apollo 17,Apollo 17,302.0,565.0,3,22.13,24.18
58,Gemini 10,Gemini 10,Gemini 10,71.0,266.0,1,1.47,1.47
59,Apollo 11,Apollo 11,Apollo 11,195.0,266.0,0,0.0,1.47
60,Gemini 11,Gemini 11,Gemini 11,71.28,315.88,0,0.0,2.68
61,Apollo 12,Apollo 12,Apollo 12,244.6,315.88,2,2.68,2.68
62,Gemini 12,Gemini 12,Gemini 12,94.58,289.0,3,5.5,8.0
63,Apollo 11,Apollo 11,Apollo 11,195.0,289.0,1,2.5,8.0
64,Apollo 7,Apollo 7,Apollo 7,260.13,260.0,0,0.0,0.0
65,Apollo 7,Apollo 7,Apollo 7,260.13,260.13,0,0.0,0.0
66,Soyuz T­13,Salyut 7,Soyuz T­14,4035.0,6065.63,0,0.0,5.0
67,Soyuz TM­5,Mir EP,Soyuz TM­4,236.0,6065.63,0,0.0,5.0
68,Soyuz 39,Soyuz 39,Soyuz 39,188.7,188.7,0,0.0,0.0
69,STS-1,STS-1,STS-1,54.0,565.0,0,0.0,0.0
70,STS-7,STS-7,STS-7,146.0,565.0,0,0.0,0.0
71,STS-41-C,STS-41-C,STS-41-C,168.0,565.0,0,0.0,0.0
72,STS-41-G,STS-41-G,STS-41-G,197.0,565.0,0,0.0,0.0
73,Soyuz 40,Soyuz 40,Soyuz 40,188.7,188.7,0,0.0,0.0
74,STS-2,STS-2,STS-2,30.0,224.0,0,0.0,0.0
75,STS-51-I,STS-51-I,STS-51-I,170.0,224.0,0,0.0,0.0
76,STS-2,STS-2,STS-2,54.21,199.34,0,0.0,0.0
77,STS-8,STS-8,STS-8,145.13,199.34,0,0.0,0.0
78,STS-3,STS-3,STS-3,192.0,382.0,0,0.0,0.0
79,STS-51-F,STS-51-F,STS-51-F,190.0,382.0,0,0.0,0.0
80,Soyuz T­5,Salyut 7,Soyuz T­7,5073.0,5073.07,1,2.55,2.55
81,Soyuz T-6,Salyut 7,Soyuz T-6,190.0,1043.32,0,0.0,5.95
82,Soyuz TM-7,Mir,Soyuz TM-6,594.0,1043.32,1,5.95,5.95
83,STS-86,STS-86,STS-86,259.3,1043.32,0,0.0,5.95
84,STS-4,STS-4,STS-4,169.0,481.0,0,0.0,0.0
85,STS-41-D,STS-41-D,STS-41-D,144.0,481.0,0,0.0,0.0
86,STS-61-A,STS-61-A,STS-61-A,168.0,481.0,0,0.0,0.0
87,Soyuz T­7,Salyut 7,Soyuz T­5,189.0,8950.87,0,0.0,31.82
88,Soyuz 3,Soyuz 3,Soyuz 3,94.83,94.83,0,0.0,0.0
89,Apollo 8,Apollo 8,Apollo 8,147.0,147.0,0,0.0,0.0
90,Soyuz 4,Soyuz 4/Soyuz 5,Soyuz 4,71.33,237.92,0,0.0,0.0
91,Soyuz 8,Soyuz 8,Soyuz 8,118.0,237.92,0,0.0,0.0
92,Soyuz 10,Soyuz 10,Soyuz 10,47.0,237.92,0,0.0,0.0
93,Soyuz 5,Soyuz 5/Soyuz 4,Soyuz 5,72.0,1255.28,0,0.0,0.0
94,Soyuz 21,Soyuz 21,Soyuz 21,1182.0,1255.28,0,0.0,0.0
95,Soyuz 5,Soyuz 5/4,Soyuz 4,47.0,214.33,1,0.62,0.62
96,Soyuz 8,Soyuz 8,Soyuz 8,118.0,214.33,0,0.0,0.62
97,Soyuz 10,Salyut 1,Soyuz 10,47.0,214.33,0,0.0,0.62
98,Soyuz 5,Soyuz 5/4,Soyuz 4,48.17,47.75,1,0.62,0.62
99,apollo 9,apollo 9,apollo 9,241.0,241.0,1,1.13,1.13
100,Soyuz 6,Soyuz 6,Soyuz 6,118.0,118.7,0,0.0,0.0
101,Soyuz 6,Soyuz 6,Soyuz 6,118.0,449.95,0,0.0,0.0
102,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,449.95,0,0.0,0.0
103,Soyuz 36,Salyut 6,Soyuz 35,188.0,449.95,0,0.0,0.0
104,Soyuz 7,Soyuz 7,Soyuz 7,118.0,261.05,0,0.0,0.0
105,Soyuz 16,Soyuz 16,Soyuz 16,142.0,261.05,0,0.0,0.0
106,Soyuz 7,Soyuz 7,Soyuz 7,118.0,689.02,0,0.0,0.0
107,Soyuz 11,Salyut 1,Soyuz 11,570.0,689.02,0,0.0,0.0
108,Soyuz 7,Soyuz 7,Soyuz 7,118.0,732.78,0,0.0,0.0
109,Soyuz 24,Salyut 5,Soyuz 24,425.0,732.78,0,0.0,0.0
110,Soyuz 37,Salyut 6,Soyuz 36,188.0,732.78,0,0.0,0.0
111,Apollo 12,Apollo 12,Apollo 12,244.81,1671.75,2,6.4,9.32
112,Apollo CSM-117,Skylab 3,Apollo CSM-117,1427.23,1671.75,1,2.68,9.32
113,Apollo 13,Apollo 13,Apollo 13,142.0,142.0,0,0.0,0.0
114,Apollo 13,Apollo 13,Apollo 13,142.0,142.0,0,0.0,0.0
115,Soyuz 9,Soyuz 9,Soyuz 9,424.0,1936.3,0,0.0,0.0
116,Soyuz 18,Salyut 5,Soyuz 18,1511.0,1936.3,0,0.0,0.0
117,Apollo 14,Apollo 14,Apollo 14,216.0,216.25,2,9.25,9.25
118,Apollo 14,Apollo 14,Apollo 14,216.0,216.0,0,0.0,0.0
119,Apollo 14,Apollo 14,Apollo 14,216.0,216.0,2,9.38,9.38
120,Soyuz 10,Soyuz 10,Soyuz 10,47.0,237.15,0,0.0,0.0
121,Soyuz 16,Soyuz 16,Soyuz 16,142.0,237.15,0,0.0,0.0
122,Soyuz 33,Soyuz 33,Soyuz 33,47.0,237.15,0,0.0,0.0
123,Soyuz 11,Salyut 1,Soyuz 11,570.0,570.35,0,0.0,0.0
124,Soyuz 11,Salyut 1,Soyuz 11,570.0,570.35,0,0.0,0.0
125,Apollo 15,Apollo 15,Apollo 15,295.2,295.2,1,0.63,0.63
126,Apollo 15,Apollo 15,Apollo 15,295.0,295.0,3,18.5,18.5
127,Apollo 16,Apollo 16,Apollo 16,266.0,508.0,1,1.38,1.38
128,STS-4,STS-4,STS-4,169.0,508.0,0,0.0,1.38
129,STS-151-C,STS-151-C,STS-151-C,73.0,508.0,0,0.0,1.38
130,Apollo 16,Apollo 16,Apollo 16,265.0,265.0,3,20.25,20.25
131,Apollo 17,Apollo 17,Apollo 17,301.0,301.0,1,1.4,1.4
132,Apollo 17,Apollo 17,Apollo 17,301.0,301.0,3,22.07,22.07
133,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2,267.0,793.22,2,2.27,2.27
134,STS-6,STS-6,STS-6,120.0,793.22,0,0.0,2.27
135,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2,672.0,672.0,1,3.42,3.42
136,Apollo Sk.3,Skylab 3,Skylab 3,1427.0,1619.0,2,11.0,11.0
137,STS-3,STS-3,STS-3,192.0,1619.0,0,0.0,11.0
138,Apollo Sk.3,Skylab,Apollo Sk.3,1427.0,1674.0,3,13.72,13.72
139,STS-9,STS-9,STS-9,247.0,1674.0,0,0.0,13.72
140,Soyuz 12,Soyuz 12,Soyuz 12,47.0,47.25,0,0.0,0.0
141,Soyuz 12,Soyuz 12,Soyuz 12,47.0,497.33,0,0.0,0.0
142,Soyuz 27,Salyut 6,Soyuz 26,142.0,497.33,0,0.0,0.0
143,Soyuz T­3,Salyut 6,Soyuz T­3,307.0,497.33,0,0.0,0.0
144,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,3,15.85,15.85
145,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,2,13.62,13.62
146,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,3,15.35,15.35
147,Soyuz 13,Soyuz 13,Soyuz 13,188.0,1890.28,0,0.0,0.0
148,Soyuz 18,Saluyt 4,Soyuz 18,1511.0,1890.28,0,0.0,0.0
149,Soyuz 30,Saluyt 6,Soyuz 30,190.0,1890.28,0,0.0,0.0
150,Soyuz 13,Soyuz 13,Soyuz 13,188.0,5261.98,0,0.0,2.55
151,Soyuz T­5,Salyut 7,Soyuz T­7,5313.0,5261.98,1,2.55,2.55
152,Soyuz 14,Salyut 3,Soyuz 14,377.0,377.5,0,0.0,0.0
153,Soyuz 15,Soyuz 15,Soyuz 15,48.0,48.2,0,0.0,0.0
154,Soyuz 15,Soyuz 15,Soyuz 15,48.0,48.2,0,0.0,0.0
155,Soyuz 17,Salyut 4,Soyuz 17,709.0,899.6,0,0.0,0.0
156,Soyuz 28,Salyut 6,Soyuz 28,190.0,899.6,0,0.0,0.0
157,Soyuz 17,Salyut 4,Soyuz 17,709.0,3236.53,0,0.0,1.01
158,Soyuz 26,Salyut 6,Soyuz 27,2314.0,3236.53,1,1.01,1.01
159,Soyuz T­14,Soyuz 7,Soyuz T­13,213.0,3236.53,0,0.0,1.01
160,ASTP,ASTP,ASTP,217.5,746.0,0,0.0,0.0
161,STS-5,STS-5,STS-5,122.25,746.0,0,0.0,0.0
162,STS-41-B,STS-41-B,STS-41-B,191.25,746.0,0,0.0,0.0
163,STS-35,STS-35,STS-35,215.0,746.0,0,0.0,0.0
164,ASTP,ASTP,ASTP,217.47,217.47,0,0.0,0.0
165,Soyuz 21,Salyut 5,Soyuz 21,1182.0,1182.38,0,0.0,0.0
166,Soyuz 22,Soyuz 22,Soyuz 22,189.0,284.18,0,0.0,0.0
167,Soyuz T­2,Salyut 6,Soyuz T­2,94.0,284.18,0,0.0,0.0
168,Soyuz 23,Soyuz 23,Soyuz 23,48.0,48.1,0,0.0,0.0
169,Soyuz 23,Soyuz 23,Soyuz 23,48.0,48.1,0,0.0,0.0
170,Soyuz 24,Salyut 5,Soyuz 24,425.0,425.42,0,0.0,0.0
171,Soyuz 25,Soyuz 25,Soyuz 25,48.0,5193.13,0,0.0,2.33
172,Soyuz 29,Salyut 6,Soyuz 31,3350.0,5193.13,1,2.33,2.33
173,Soyuz T­4,Salyut 6,Soyuz T­4,1793.0,5193.13,0,0.0,2.33
174,Soyuz 25,Soyuz 25,Soyuz 25,48.0,8921.4,0,0.0,1.38
175,Soyuz 32,Salyut 6,Soyuz 34,4200.0,8921.4,1,1.38,1.38
176,Soyuz 35,Salyut 6,Soyuz 37,4436.0,8921.4,0,0.0,1.38
177,STS­ 91,STS­ 91,STS­ 91,235.0,8921.4,0,0.0,1.38
178,Soyuz 26,Salyut 6,Soyuz 27,2314.0,10338.35,1,1.47,10.27
179,Soyuz 38,Salyut 6,Soyuz 38,188.0,10338.35,0,0.0,10.27
180,Soyuz TM­2/3,Mir,Soyuz TM­2/3,7835.0,10338.35,3,8.8,10.27
181,Soyuz 27,Salyut 6,Soyuz 26,142.0,3495.93,0,0.0,8.57
182,Soyuz 39,Salyut 6,Soyuz 39,188.0,3495.93,0,0.0,8.57
183,Soyuz T­6,Salyut 7,Soyuz T­6,189.0,3495.93,0,0.0,8.57
184,Soyuz T­12,Salyut 7,Soyuz T­12,283.0,3495.93,1,3.57,8.57
185,Soyuz T­13,Salyut 7,Soyuz T­13,2691.0,3495.93,1,5.0,8.57
186,Soyuz 28,Soyuz 28,Soyuz 28,190.28,190.28,0,0.0,0.0
187,Soyuz 29,Salyut 6,Soyuz 31,3350.0,3540.62,1,2.33,2.33
188,Soyuz T6,Salyut 7,Soyuz T6,189.0,3540.62,0,0.0,2.33
189,Soyuz 30,Soyuz 30,Soyuz 30,190.03,190.03,0,0.0,0.0
190,Soyuz 31,Soyuz 31,Soyuz 29,188.82,188.82,0,0.0,0.0
191,Soyuz 32,Salyut 6,Soyuz 34,4200.0,7999.78,1,1.38,7.12
192,Soyuz T­9,Salyut 7,Soyuz T­9,3586.0,7999.78,2,5.73,7.12
193,Soyuz TM­6,Mir,Soyuz TM­5,212.0,7999.78,0,0.0,7.12
194,Soyuz 33,Soyuz 33,Soyuz 33,47.0,47.0,0,0.0,0.0
195,Soyuz 35,Salyut 6,Soyuz 37,4436.0,4814.75,0,0.0,0.0
196,Soyuz 40,Salyut 6,Soyuz 40,188.0,4814.75,0,0.0,0.0
197,Soyuz T­7,Salyut 7,Soyuz T­5,189.0,4814.75,0,0.0,0.0
198,,Soyuz 36/35,,188.75,188.75,0,0.0,0.0
199,Soyuz T­2,Salyut 7,Soyuz T­2,94.0,283.98,0,0.0,0.0
200,Soyuz T­11,Salyut 7,Soyuz T­10,189.0,283.98,0,0.0,0.0
201,Soyuz 37,Salyut 6,Soyuz 36,188.7,188.7,0,0.0,0.0
202,Soyuz 38,Soyuz 38,Soyuz 38,1887.71,188.71,0,0.0,0.0
203,Soyuz T­3,Salyut 6,Soyuz T­3,307.0,8993.93,0,0.0,31.48
204,Soyuz T­10,Salyut 7,Soyuz T­11,5686.0,8993.93,6,22.83,31.48
205,Soyuz T­15,Mir/Salyut 7,Soyuz T­15,3000.0,8993.93,2,8.83,31.48
