Organisation,Details,Rocket_Status,Price
Roscosmos,Soyuz 2.1a | Progress MS-21,Active,17.42
Roscosmos,Soyuz 2.1b/Fregat-M | Goniets-M n°33L to 35L & Skif-D,Active,25.0
ISRO,LVM-3 | OneWeb #14,Active,62.0
VKS RF,Soyuz 2.1v/Volga | Cosmos 2561 & 2562,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 4-36,Active,67.0
VKS RF,Angara 1.2 | Cosmos 2560,Active,
SpaceX,Falcon 9 Block 5 | Hotbird 13F,Active,67.0
CASC,Long March 2D | Yaogan 36 Group 02,Active,29.75
CASC,Long March 2C | 5 m S-SAR-01 (Huanjing-2E),Active,30.8
Roscosmos,Proton-M/DM-3 | Angosat-2,Active,65.0
JAXA,Epsilon PBS | RAISE-3 & Others,Active,39.0
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2559,Active,25.0
CASC,Long March 2D | Advanced Space-borne Solar Observatory (ASO-S),Active,29.75
SpaceX,Falcon 9 Block 5 | Galaxy 33 & 34,Active,67.0
Rocket Lab,Electron/Curie | It Argos Up From Here,Active,7.5
CASC,Long March 11H | CentiSpace-1 S5 & S6,Active,5.3
SpaceX,Falcon 9 Block 5 | Starlink Group 4-29,Active,67.0
SpaceX,Falcon 9 Block 5 | SpaceX Crew-5,Active,67.0
ULA,Atlas V 531 | SES-20 & SES-21,Active,140.0
Firefly,Alpha | To The Black,Active,15.0
CASC,Long March 6 | Shiyan 16 A/B & Shiyan 17,Active,19.0
CASC,Long March 2D | Yaogan 36,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 4-35,Active,67.0
CASIC,Kuaizhou 1A | Shiyan 14 & Shiyan 15,Active,5.8
ULA,Delta IV Heavy | KH-11 19 (USA-338) (NROL-91),Active,350.0
Roscosmos,Soyuz 2.1a | Soyuz MS-22,Active,17.42
CASC,Long March 2D | Yunhai-1 03,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 4-34,Active,67.0
Rocket Lab,Electron/Curie | The Owl Spreads Its Wings,Active,7.5
CASC,Long March 7A | ChinaSat 1E,Active,
Blue Origin,New Shepard | NS-23,Active,
SpaceX,"Falcon 9 Block 5 | Starlink Group 4-2, BlueWalker 3",Active,67.0
Arianespace,Ariane 5 ECA | Eutelsat Konnect VHTS,Retired,200.0
CASC,Long March 2D | Yaogan 35 Group 05,Active,29.75
ExPace,Kuaizhou 1A | CentiSpace-1 S3 & S4,Active,5.8
SpaceX,Falcon 9 Block 5 | Starlink Group 4-20 and Varuna-TDM,Active,67.0
CASC,Long March 4C | Yaogan 33-02,Active,64.68
SpaceX,Falcon 9 Block 5 | Starlink Group 3-4,Active,67.0
