Name,Baths,Balcony
"Tapas,Parthasarathy Puram, T Nagar,Chennai",3,Yes
"Reenas,Kundrathur, Chennai",2,No
ETA Rosedale,3,No
"Kolathur Srinivasa nagar 3rd MAIN Road,Anthony Nagar, Kolathur,Chennai",3,Yes
VGN Orville,3,Yes
Sobha Meritta,3,Yes
RRDH Hibiscus F Block,3,Yes
"L AND T,Perungalathur, Chennai",3,Yes
"Kundrathur, Chennai",3,No
"Sakthi Avenue, Gerugambakkam,Chennai",2,Yes
"palavakkam vgp,VGP Layout, Palavakkam,Chennai",3,No
"Mercury Flats,Chettipunyam, Chennai",3,No
"UTOPIA,Indira Nagar, Adyar,Chennai",3,Yes
"Adayalampet, Maduravoyal,Chennai",3,Yes
Pacifica Happiness Towers,3,No
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",5,Yes
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",5,Yes
"Kumananchavadi evp,Kumananchavadi, Chennai",2,Yes
"Navoda,Annamalai Colony, Saligramam,Chennai",3,Yes
"vinyakapuram,Venkataraman Nagar, Korattur,Chennai",3,Yes
Narendra NPL Agastya,3,Yes
Mahindra Nova,3,No
Kailash Flats,2,No
"law orchid,Thirumangalam, Anna Nagar West,Chennai",2,No
"Kendriya Vihar ,Velappanchavadi, Chennai",3,Yes
"Pudupakkam, Chennai",3,Yes
"Shine Shelters,Sakthi Avenue, Gerugambakkam,Chennai",3,No
"Casagrand Primera,Girigori Nagar, Manapakkam,Chennai",3,Yes
Sri Rama Nivas,3,Yes
"SUMATHI BUILDERS,Yeswanth Nagar, Madambakkam,Chennai",2,No
"Kulattur, Chennai",3,No
Dakshin Dhara,2,No
"Kanathur, Uthandi,Chennai",4,Yes
Kgeyes Apoorvaa by Kgeyes Residency,3,Yes
Radiance Shine,3,Yes
Radiance Shine by Radiance Realty Developers India Ltd,3,No
Pa Towers,3,No
CasaGrand Smart Town,2,No
MS Charan MM Cascade Phase - II,3,Yes
"Jerusalem flats ,Narayana Nagar, Korattur,Chennai",3,Yes
Mahindra Iris Court,3,No
Vijayalakshmi Viji Homes,3,No
"Thirunagar, Jafferkhanpet,Chennai",3,No
Sara Lotus by Sara Homes,3,No
"Abode by Atikramya,Aspiran Garden Colony, Kilpauk,Chennai",4,Yes
"Navalur, Chennai",2,Yes
"Muttukadu, Chennai",4,Yes
Appaswamy Arcot Terrace,3,No
"Kathirvedu, Puzhal,Chennai",2,Yes
"Vigneshwara Nagar, Tharapakkam,Chennai",4,No
"Vigneshwara Nagar, Tharapakkam,Chennai",3,Yes
"La habitat apartment ,Dhanalakshmi Nagar, Madhanandapuram,Chennai",2,No
"Vigneshwara Nagar, Tharapakkam,Chennai",3,No
Meritta,3,No
