Neo Reference ID,Close Approach Date,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles)
2235756,2015-04-08,1428476400000,20.402550409,73449.1814722322,45638.4650097879,0.1043972292,40.6105232239,15617603.0,9704329.0
2308635,2015-04-08,1428476400000,22.0874904966,79514.9657877704,49407.507491851,0.283320686,110.2117538452,42384172.0,26336304.0
3560920,2015-04-08,1428476400000,21.8081015592,78509.165613152,48782.5423777944,0.2846315717,110.7216873169,42580280.0,26458158.0
3667121,2015-04-08,1428476400000,16.5034821999,59412.5359195079,36916.6393328742,0.3159651352,122.9104385376,47267712.0,29370796.0
3713935,2015-04-08,1428476400000,23.3010392867,83883.7414319882,52122.0947803374,0.0626791769,24.3822002411,9376672.0,5826393.5
3751828,2015-04-08,1428476400000,18.2885059827,65838.6215378694,40909.5590327945,0.2573362053,100.1037826538,38496948.0,23920894.0
3341510,2015-04-08,1428476400000,6.3629908903,22906.7672050221,14233.3743224761,0.2128956018,82.8163909912,31848730.0,19789882.0
3717360,2015-04-15,1429081200000,13.8682020987,49925.5275553477,31021.7812745993,0.013900193,5.4071750641,2079439.375,1292103.75
3179348,2015-04-15,1429081200000,13.4448164174,48401.3391027174,30074.7098441302,0.1111367251,43.2321853638,16625818.0,10330804.0
3457388,2015-04-15,1429081200000,28.6305928789,103070.1343640202,64043.7732107991,0.3984553047,154.9991149902,59608064.0,37038732.0
3602839,2015-04-15,1429081200000,20.2345826972,72844.4977097443,45262.7380352575,0.3577037387,139.1467590332,53511720.0,33250640.0
3634129,2015-04-15,1429081200000,7.0493684649,25377.7264736495,15768.7323191407,0.2372910106,92.3062057495,35498228.0,22057578.0
3713009,2015-04-15,1429081200000,7.2483207112,26093.9545603721,16213.7685989156,0.1693720074,65.8857116699,25337692.0,15744112.0
3716629,2015-04-22,1429686000000,6.2435058564,22476.6210831128,13966.0982502264,0.0676127293,26.3013515472,10114721.0,6284996.0
3717108,2015-04-22,1429686000000,9.2678319203,33364.1949131897,20731.2132225872,0.0520317329,20.2403450012,7783836.5,4836652.0
3719380,2015-04-22,1429686000000,8.0840728176,29102.6621433297,18083.2624856706,0.0514770221,20.0245609283,7700853.0,4785088.0
3002856,2015-04-22,1429686000000,27.6845869484,99664.5130142364,61927.6525448737,0.3134333243,121.9255599976,46888956.0,29135448.0
3092237,2015-04-22,1429686000000,13.8286945272,49783.3002977656,30933.4067877977,0.2081156555,80.9569854736,31133658.0,19345558.0
